video,true_label,prediction,latency_sec
5 dollars__16319399751609986-5 DOLLARS.mp4,5 dollars,strange,1.157163381576538
advertise__2658923980129797-ADVERTISE.mp4,advertise,advertise,1.1373050212860107
after__6421905891904218-AFTER.mp4,after,after,1.1534745693206787
alarm__7826436922750357-ALARM.mp4,alarm,alarm,1.1367621421813965
all of_sudden__9687463829364669-ALL OF_SUDDEN.mp4,all of_sudden,all of_sudden,1.108354091644287
alphabet__6745563196906066-ALPHABET.mp4,alphabet,alphabet,1.162571668624878
and__22877680820569246-AND.mp4,and,wish,1.1037194728851318
anyone__534254020500949-ANYONE.mp4,anyone,anyone,1.1182279586791992
apple__15890366051589533-APPLE.mp4,apple,apple,1.137768268585205
baseball cap__9659053045796857-BASEBALL CAP.mp4,baseball cap,baseball cap,1.1073896884918213
basement__2913954216276238-BASEMENT.mp4,basement,basement,1.142024278640747
bath__9152504941850548-BATH.mp4,bath,bath,1.118377923965454
blood__4321205186551702-BLOOD.mp4,blood,blood,1.1157479286193848
borrow__7172731711007203-BORROW.mp4,borrow,borrow,1.081162452697754
bottle__8861774348892111-BOTTLE.mp4,bottle,bottle,1.1049582958221436
braids__11102489023806106-BRAIDS.mp4,braids,braids,1.1429345607757568
brother__11971365576674886-BROTHER.mp4,brother,brother,1.1554088592529297
call tty__014269563059511103-CALL TTY.mp4,call tty,call tty,1.1080944538116455
capture__9867166920593038-CAPTURE.mp4,capture,capture,1.1275370121002197
category__8513097046792275-CATEGORY.mp4,category,category,1.1012299060821533
catholic__4191234565728781-CATHOLIC.mp4,catholic,catholic,1.1328527927398682
cemetery__06763934192733045-CEMETERY.mp4,cemetery,depend on,1.119243860244751
chain__08890193086804521-CHAIN.mp4,chain,chain,1.1238033771514893
channel__104959056923142-CHANNEL.mp4,channel,5 dollars,1.1378233432769775
cheek__2716308980795006-CHEEK.mp4,cheek,cheek,1.1435847282409668
chocolate__10125670701301193-CHOCOLATE.mp4,chocolate,chocolate,1.1152164936065674
cigarette__5072040267006286-CIGARETTE.mp4,cigarette,cigarette,1.1220061779022217
clear__29012617020348186-CLEAR.mp4,clear,clear,1.1126360893249512
close__6196318962483198-CLOSE.mp4,close,close,1.1614718437194824
cocacola__5783743163287489-COCACOLA.mp4,cocacola,cocacola,1.1232378482818604
cocaine__7038184716669771-COCAINE.mp4,cocaine,apple,1.1383640766143799
complex__9054371105490806-COMPLEX.mp4,complex,complex,1.1779472827911377
cookie__8983474940538625-COOKIE.mp4,cookie,cookie,1.1604723930358887
cover up__38836319428880084-COVER UP.mp4,cover up,cover up,1.12947678565979
depend on__839662784357222-DEPEND ON.mp4,depend on,depend on,1.1353015899658203
disappear__025276661342497064-DISAPPEAR.mp4,disappear,disappear,1.119385004043579
dress__572578383419031-DRESS.mp4,dress,dress,1.1544218063354492
each__5356342219511028-EACH.mp4,each,each,1.1320345401763916
egg beater__49756905210508284-EGG BEATER.mp4,egg beater,egg beater,1.1168582439422607
egypt__35875764611770156-EGYPT.mp4,egypt,egypt,1.1358401775360107
embarrass__6545851458496699-EMBARRASS.mp4,embarrass,embarrass,1.143003225326538
explanation__4537609033805401-EXPLANATION.mp4,explanation,explanation,1.1235978603363037
fail__8306510210981155-FAIL.mp4,fail,fail,1.143528938293457
falling asleep__3252664947522783-FALLING ASLEEP.mp4,falling asleep,falling asleep,1.0901589393615723
farm__4653740653431786-FARM.mp4,farm,farm,1.1003947257995605
fault__7585801014610165-FAULT.mp4,fault,fault,1.1735658645629883
favorite__4892368596778316-FAVORITE.mp4,favorite,things,1.0832655429840088
few__033224297697072025-FEW.mp4,few,few,1.1407716274261475
filter__17575760530387408-FILTER.mp4,filter,filter,1.1403911113739014
finish__5726531690314898-FINISH.mp4,finish,finish,1.1175131797790527
four__7184251334812357-FOUR.mp4,four,four,1.1086459159851074
friendly__20970768838159226-FRIENDLY.mp4,friendly,friendly,1.1208906173706055
future__8166314801943109-FUTURE.mp4,future,future,1.121438980102539
greece__26696772536629787-GREECE.mp4,greece,greece,1.119694471359253
green__5086571279720689-GREEN.mp4,green,green,1.1182968616485596
hammer__9718151658667313-HAMMER.mp4,hammer,hammer,1.1417639255523682
hello__7027473793210652-HELLO.mp4,hello,hello,1.1531739234924316
hope__21130289485222242-HOPE.mp4,hope,hope,1.1193652153015137
husband__2876495646721371-HUSBAND.mp4,husband,husband,1.1524074077606201
important__12308384116454874-IMPORTANT.mp4,important,important,1.118668794631958
king__9527743359012677-KING.mp4,king,king,1.1261157989501953
later__6105497648414697-LATER.mp4,later,alarm,1.1080231666564941
laugh__5846501904627992-LAUGH.mp4,laugh,laugh,1.1078252792358398
lighter__10624966994296114-LIGHTER.mp4,lighter,lighter,1.109241247177124
lipstick__4744802174065492-LIPSTICK.mp4,lipstick,lipstick,1.175403356552124
look appearance__17725043325452972-LOOK APPEARANCE.mp4,look appearance,look appearance,1.120532512664795
maybe__05875908360733573-MAYBE.mp4,maybe,maybe,1.1244421005249023
morning__33958708655307857-MORNING.mp4,morning,morning,1.1185145378112793
motorcycle__5109319431832555-MOTORCYCLE.mp4,motorcycle,motorcycle,1.1178178787231445
mustache__051581123390527006-MUSTACHE.mp4,mustache,mustache,1.1506719589233398
north__16641019344812058-NORTH.mp4,north,baseball cap,1.1866261959075928
other__7736875936025043-OTHER.mp4,other,other,1.1412599086761475
pepsi__22567124524349658-PEPSI.mp4,pepsi,pepsi,1.1230337619781494
person__031958230657914255-PERSON.mp4,person,person,1.1106860637664795
play__16316522222182783-PLAY.mp4,play,play,1.1781933307647705
rain__021281916138308432-RAIN.mp4,rain,rain,1.1392157077789307
sew__45215182015221966-SEW.mp4,sew,sew,1.1237766742706299
sink__013933028993222907-SINK.mp4,sink,sink,1.1054363250732422
skate__4582395058338604-SKATE.mp4,skate,skate,1.1491024494171143
society__811215664856763-SOCIETY.mp4,society,society,1.1281299591064453
speakers__5683945782186626-SPEAKERS.mp4,speakers,speakers,1.1324782371520996
sshh__5719477017744072-SSHH.mp4,sshh,sshh,1.1010279655456543
steal__9997191417480036-STEAL.mp4,steal,temptation,1.0974609851837158
stomach__08623458492433511-STOMACH.mp4,stomach,stomach,1.1214392185211182
strange__2862298227001887-STRANGE.mp4,strange,strange,1.0983493328094482
surprise__7032425188730609-SURPRISE.mp4,surprise,surprise,1.0900704860687256
suspect__5952691413724642-SUSPECT.mp4,suspect,suspect,1.1094624996185303
temptation__035584284226194196-TEMPTATION.mp4,temptation,temptation,1.1561198234558105
text__21945038538298234-TEXT.mp4,text,text,1.1304442882537842
that__08842611261089162-THAT.mp4,that,that,1.1181752681732178
things__021148380160516345-THINGS.mp4,things,things,1.1274659633636475
travel__4424959790640768-TRAVEL.mp4,travel,travel,1.1165661811828613
very interested__6624188133397686-VERY INTERESTED.mp4,very interested,very interested,1.1711511611938477
vote__06666625513848645-VOTE.mp4,vote,vote,1.1795604228973389
wear__4570943323836123-WEAR.mp4,wear,wear,1.1434550285339355
which__2616083634897459-WHICH.mp4,which,which,1.0983245372772217
why__2952311704357522-WHY.mp4,why,why,1.1259167194366455
wish__5711747304509649-WISH.mp4,wish,wish,1.1105096340179443
work__06423831579431782-WORK.mp4,work,work,1.1363012790679932
worm__7201077984344932-WORM.mp4,worm,worm,1.14742112159729
